,법정동명,법정동코드,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,충청남도 천안시 동남구 대흥동,44131101,1498.5,1486.75,1464.5,1409.5,1426.25,1409.0,1390.75,1346.5,1349.75,1300.5
1,충청남도 천안시 동남구 성황동,44131102,1681.0,1602.3333333333333,1543.0,1479.3333333333333,1387.0,1305.0,1226.0,1435.3333333333333,2214.6666666666665,2628.3333333333335
2,충청남도 천안시 동남구 문화동,44131103,5186.666666666666,5041.0,4822.333333333334,4631.0,4472.0,4299.666666666666,4184.666666666666,4317.0,5059.333333333333,5376.666666666667
3,충청남도 천안시 동남구 사직동,44131104,1498.5,1486.75,1464.5,1409.5,1426.25,1409.0,1390.75,1346.5,1349.75,1300.5
4,충청남도 천안시 동남구 영성동,44131105,1498.5,1486.75,1464.5,1409.5,1426.25,1409.0,1390.75,1346.5,1349.75,1300.5
5,충청남도 천안시 동남구 오룡동,44131106,1498.5,1486.75,1464.5,1409.5,1426.25,1409.0,1390.75,1346.5,1349.75,1300.5
6,충청남도 천안시 동남구 원성동,44131107,29040.333333333332,28235.666666666664,27372.333333333336,26544.666666666664,26345.666666666664,26402.0,25921.0,25766.666666666664,26437.0,26694.333333333336
7,충청남도 천안시 동남구 구성동,44131108,9290.6,9375.0,9637.2,9637.8,10204.2,10537.6,11213.6,11046.4,10848.4,11603.4
8,충청남도 천안시 동남구 청수동,44131109,9290.6,9375.0,9637.2,9637.8,10204.2,10537.6,11213.6,11046.4,10848.4,11603.4
9,충청남도 천안시 동남구 삼룡동,44131110,9290.6,9375.0,9637.2,9637.8,10204.2,10537.6,11213.6,11046.4,10848.4,11603.4
10,충청남도 천안시 동남구 청당동,44131111,9290.6,9375.0,9637.2,9637.8,10204.2,10537.6,11213.6,11046.4,10848.4,11603.4
11,충청남도 천안시 동남구 유량동,44131112,3505.6666666666665,3438.6666666666665,3279.3333333333335,3151.6666666666665,3085.0,2994.6666666666665,2958.6666666666665,2881.6666666666665,2844.6666666666665,2748.3333333333335
12,충청남도 천안시 동남구 봉명동,44131113,10529.5,10136.0,9677.0,9339.5,8789.5,8836.5,9021.5,9045.0,8950.0,8682.5
13,충청남도 천안시 동남구 다가동,44131114,12347.5,12228.5,12856.5,12642.0,12642.5,12501.0,12308.5,11598.5,11370.5,11153.0
14,충청남도 천안시 동남구 용곡동,44131115,35158.0,35486.5,36420.0,36241.0,35456.0,35330.5,34902.5,33886.5,33380.0,33014.5
